;displacement;weight;acceleration;cylinders;horsepower;model year;origin;Y;abs_res;cluster
326;90.0;2335;23.7;4;48;80;2;43.4;4.441960000000002;0
350;105.0;2215;14.9;4;63;81;1;34.7;2.132630000000006;0
2;318.0;3436;11.0;8;150;70;1;18.0;2.2640100000000007;1
156;400.0;4668;11.5;8;170;75;1;16.0;3.3490280000000006;1
387;262.0;3015;17.0;6;85;82;1;38.0;10.925066000000001;0
306;173.0;2595;11.3;6;115;79;1;28.8;2.938839999999999;0
381;107.0;2205;14.5;4;75;82;3;36.0;2.288933;0
247;85.0;2070;18.6;4;70;78;3;39.4;6.839804000000001;0
383;91.0;1965;15.0;4;67;82;3;38.0;4.827472999999998;0
240;97.0;2190;14.1;4;78;77;2;30.5;2.3738980000000005;0
395;135.0;2295;11.6;4;84;82;1;32.0;2.919678000000001;0
255;140.0;2720;15.4;4;88;78;1;25.1;2.4106780000000008;0
188;318.0;4190;13.0;8;150;76;1;16.0;2.1384740000000004;1
268;119.0;2300;14.7;4;97;78;3;27.2;2.827469999999998;0
325;90.0;2085;21.7;4;48;80;2;44.3;3.480877999999997;0
248;91.0;1800;16.4;4;60;78;3;36.1;4.253553;0
300;260.0;3420;22.2;8;90;79;1;23.9;2.8108429999999984;1
344;86.0;1875;16.4;4;64;81;1;39.0;5.222054;0
182;107.0;2464;15.5;4;86;76;2;28.0;3.6380349999999986;0
380;120.0;2160;14.5;4;88;82;3;36.0;3.3830529999999968;0
270;134.0;2515;14.8;4;95;78;3;21.1;2.2816279999999978;0
50;116.0;2123;14.0;4;90;71;2;28.0;2.4054129999999994;0
329;91.0;1850;13.8;4;67;80;3;44.6;7.4560749999999985;0
222;260.0;4060;19.0;8;110;77;1;17.0;2.2699169999999995;1
301;105.0;2200;13.2;4;70;79;1;34.2;4.629100000000001;0
130;122.0;2451;16.5;4;80;74;1;26.0;2.732154999999999;0
187;305.0;4215;13.0;8;140;76;1;17.5;2.9495900000000006;1
0;307.0;3504;12.0;8;130;70;1;18.0;2.2640100000000007;1
375;105.0;1980;15.3;4;74;82;2;36.0;2.562747999999999;0
385;91.0;1995;16.2;4;67;82;3;38.0;4.5977200000000025;0
256;225.0;3430;17.2;6;100;78;1;20.5;2.2290740000000007;1
305;151.0;2670;16.0;4;90;79;1;28.4;2.4483420000000002;0
343;79.0;1755;16.9;4;58;81;3;39.1;5.115700000000004;0
364;350.0;3725;19.0;8;105;81;1;26.6;5.326734000000002;1
267;134.0;2560;14.2;4;95;78;3;27.5;4.118372000000001;0
128;250.0;3336;17.0;6;100;74;1;15.0;2.2020030000000013;1
163;225.0;3785;19.0;6;95;75;1;18.0;2.2186649999999997;1
244;90.0;1985;21.5;4;48;78;2;43.1;7.348657000000003;0
370;112.0;2575;16.2;4;85;82;1;31.0;2.471857;0
360;145.0;3160;19.6;6;76;81;2;30.7;4.658535999999998;0
335;122.0;2500;15.1;4;88;80;2;35.0;4.864473;0
265;318.0;4080;13.7;8;140;78;1;17.5;2.4896259999999995;1
333;168.0;2910;11.4;6;132;80;3;32.7;5.715905000000003;0
165;262.0;3221;13.5;8;110;75;1;20.0;2.477283;1
382;108.0;2245;16.9;4;70;82;3;34.0;3.7001150000000003;0
193;200.0;3012;17.6;6;81;76;1;24.0;4.285876999999999;0
251;302.0;3570;12.8;8;139;78;1;20.2;2.7514429999999983;1
192;250.0;3353;14.5;6;105;76;1;22.0;3.5633069999999982;1
54;72.0;1613;18.0;4;69;71;3;35.0;5.676404999999999;0
294;86.0;1975;15.2;4;65;79;3;34.1;3.2775440000000025;0
60;140.0;2408;19.5;4;90;72;1;20.0;2.3308469999999986;0
59;97.0;2254;23.5;4;54;72;2;23.0;6.265384999999998;0
295;98.0;1915;14.4;4;80;79;1;35.7;5.205447000000003;0
397;119.0;2720;19.4;4;82;82;1;31.0;5.984739999999999;0
304;91.0;2130;14.7;4;69;79;2;37.3;8.517851999999998;0
76;121.0;2933;14.5;4;112;72;2;18.0;3.4275930000000017;0
302;105.0;2150;14.9;4;70;79;1;34.5;4.929099999999998;0
245;98.0;1800;14.4;4;66;78;1;36.1;6.842697000000001;0
369;112.0;2395;18.0;4;88;82;1;34.0;4.784706;0
342;135.0;2385;12.9;4;84;81;1;30.0;4.33409;0
320;119.0;2434;15.0;4;92;80;3;37.0;7.153780000000001;0
154;250.0;3432;21.0;6;72;75;1;15.0;2.4854100000000017;1
220;85.0;1945;16.8;4;70;77;3;33.5;2.4009600000000013;0
363;231.0;3415;15.8;6;110;81;1;22.4;3.7992789999999985;1
289;350.0;4360;14.9;8;155;79;1;16.9;2.532318499999999;1
293;89.0;1925;14.0;4;71;79;2;31.9;2.135365;0
334;70.0;2420;12.5;3;100;80;3;23.7;8.056775000000002;0
390;144.0;2665;13.9;4;96;82;3;32.0;5.822897000000001;0
122;121.0;2660;14.0;4;110;73;2;24.0;3.379213;0
194;232.0;3085;17.6;6;90;76;1;22.5;4.431673;1
212;350.0;4380;12.1;8;180;76;1;16.5;3.549576;1
142;79.0;1963;15.5;4;67;74;2;26.0;3.869492000000001;0
309;98.0;2144;14.7;4;76;80;2;41.5;9.036434;0
141;98.0;2219;16.5;4;83;74;2;29.0;3.983778000000001;0
26;307.0;4376;15.0;8;200;70;1;10.0;3.3893240000000002;1
391;135.0;2370;13.0;4;84;82;1;36.0;7.7867619999999995;0
206;140.0;2565;13.6;4;72;76;1;26.5;3.232154999999999;0
15;198.0;2833;15.5;6;95;70;1;22.0;2.2647189999999995;1
199;225.0;3651;17.7;6;100;76;1;20.0;2.133692;1
269;105.0;2230;14.5;4;75;78;1;30.9;5.589596;0
196;98.0;2164;22.1;4;60;76;1;24.5;7.940413999999997;0
124;350.0;3664;11.0;8;180;73;1;11.0;3.4651984999999996;1
