;cylinders;displacement;horsepower;weight;acceleration;model year;origin
162;6;258.0;110;3730;19.0;75;1
34;6;225.0;105;3439;15.5;71;1
388;4;156.0;92;2585;14.5;82;1
97;6;225.0;105;3121;16.5;73;1
85;8;350.0;175;4100;13.0;73;1
61;4;122.0;86;2226;16.5;72;1
167;4;97.0;75;2171;16.0;75;3
191;6;225.0;100;3233;15.4;76;1
198;4;91.0;53;1795;17.4;76;3
389;6;232.0;112;2835;14.7;82;1
232;8;351.0;149;4335;14.5;77;1
218;4;79.0;58;1825;18.6;77;2
108;4;97.0;88;2279;19.0;73;3
46;4;140.0;72;2408;19.0;71;1
319;4;120.0;75;2542;17.5;80;3
190;8;351.0;152;4215;12.8;76;1
332;4;89.0;62;1845;15.3;80;2
73;8;307.0;130;4098;14.0;72;1
137;8;350.0;150;4699;14.5;74;1
379;4;98.0;70;2125;17.3;82;1
253;6;200.0;95;3155;18.2;78;1
386;6;181.0;110;2945;16.4;82;1
29;4;97.0;88;2130;14.5;71;3
181;4;91.0;53;1795;17.5;75;3
287;8;351.0;138;3955;13.2;79;1
284;6;225.0;110;3360;16.6;79;1
51;4;79.0;70;2074;19.5;71;2
326;4;90.0;48;2335;23.7;80;2
350;4;105.0;63;2215;14.9;81;1
27;8;318.0;210;4382;13.5;70;1
2;8;318.0;150;3436;11.0;70;1
215;8;318.0;150;3755;14.0;76;1
156;8;400.0;170;4668;11.5;75;1
210;6;156.0;108;2930;15.5;76;3
374;4;151.0;?;3035;20.5;82;1
219;4;122.0;96;2300;15.5;77;1
138;8;318.0;150;4457;13.5;74;1
234;4;151.0;88;2740;16.0;77;1
217;4;111.0;80;2155;14.8;77;1
340;4;156.0;92;2620;14.4;81;1
387;6;262.0;85;3015;17.0;82;1
306;6;173.0;115;2595;11.3;79;1
339;4;151.0;84;2635;16.4;81;1
35;6;250.0;100;3329;15.5;71;1
204;4;85.0;70;1990;17.0;76;3
264;8;302.0;139;3205;11.2;78;1
67;8;429.0;208;4633;11.0;72;1
24;6;199.0;90;2648;15.0;70;1
381;4;107.0;75;2205;14.5;82;3
44;8;400.0;175;5140;12.0;71;1
239;4;97.0;67;1985;16.4;77;3
129;4;79.0;67;1950;19.0;74;3
93;8;318.0;150;4237;14.5;73;1
111;3;70.0;90;2124;13.5;73;3
166;8;302.0;129;3169;12.0;75;1
276;4;121.0;115;2795;15.7;78;2
313;4;151.0;90;2678;16.5;80;1
272;4;151.0;85;2855;17.6;78;1
40;8;351.0;153;4154;13.5;71;1
18;4;97.0;88;2130;14.5;70;3
283;6;232.0;90;3265;18.2;79;1
79;4;96.0;69;2189;18.0;72;2
247;4;85.0;70;2070;18.6;78;3
249;8;260.0;110;3365;15.5;78;1
71;3;70.0;97;2330;13.5;72;3
13;8;455.0;225;3086;10.0;70;1
336;4;140.0;?;2905;14.3;80;1
213;8;350.0;145;4055;12.0;76;1
383;4;91.0;67;1965;15.0;82;3
240;4;97.0;78;2190;14.1;77;2
228;6;250.0;98;3525;19.0;77;1
160;6;231.0;110;3907;21.0;75;1
104;8;400.0;167;4906;12.5;73;1
161;6;250.0;105;3897;18.5;75;1
83;4;98.0;80;2164;15.0;72;1
189;8;304.0;120;3962;13.9;76;1
395;4;135.0;84;2295;11.6;82;1
118;4;116.0;75;2158;15.5;73;2
255;4;140.0;88;2720;15.4;78;1
188;8;318.0;150;4190;13.0;76;1
208;8;318.0;150;3940;13.2;76;1
373;4;140.0;92;2865;16.4;82;1
110;4;108.0;94;2379;16.5;73;3
149;4;120.0;97;2489;15.0;74;3
157;8;350.0;145;4440;14.0;75;1
152;6;225.0;95;3264;16.0;75;1
16;6;199.0;97;2774;15.5;70;1
268;4;119.0;97;2300;14.7;78;3
75;8;318.0;150;4077;14.0;72;1
109;4;140.0;72;2401;19.5;73;1
325;4;90.0;48;2085;21.7;80;2
205;4;97.0;75;2155;16.4;76;3
278;4;89.0;71;1990;14.9;78;2
252;6;231.0;105;3535;19.2;78;1
139;8;302.0;140;4638;16.0;74;1
237;4;98.0;63;2051;17.0;77;1
318;4;134.0;90;2711;15.5;80;3
248;4;91.0;60;1800;16.4;78;3
307;6;173.0;115;2700;12.9;79;1
19;4;97.0;46;1835;20.5;70;2
226;6;231.0;105;3425;16.9;77;1
311;4;98.0;70;2120;15.5;80;1
3;8;304.0;150;3433;12.0;70;1
275;6;163.0;125;3140;13.6;78;2
125;6;198.0;95;3102;16.5;74;1
77;4;121.0;76;2511;18.0;72;2
184;4;140.0;92;2572;14.9;76;1
300;8;260.0;90;3420;22.2;79;1
377;4;91.0;68;1970;17.6;82;3
344;4;86.0;64;1875;16.4;81;1
182;4;107.0;86;2464;15.5;76;2
354;4;100.0;?;2320;15.8;81;2
80;4;122.0;86;2395;16.0;72;1
258;6;231.0;105;3380;15.8;78;1
11;8;340.0;160;3609;8.0;70;1
297;5;183.0;77;3530;20.1;79;2
86;8;304.0;150;3672;11.5;73;1
266;4;98.0;68;2155;16.5;78;1
36;6;250.0;88;3302;15.5;71;1
380;4;120.0;88;2160;14.5;82;3
58;4;97.5;80;2126;17.0;72;1
41;8;318.0;150;4096;13.0;71;1
270;4;134.0;95;2515;14.8;78;3
50;4;116.0;90;2123;14.0;71;2
209;4;120.0;88;3270;21.9;76;2
316;6;225.0;90;3381;18.7;80;1
315;4;151.0;90;3003;20.1;80;1
329;4;91.0;67;1850;13.8;80;3
123;6;156.0;122;2807;13.5;73;3
222;8;260.0;110;4060;19.0;77;1
62;8;350.0;165;4274;12.0;72;1
301;4;105.0;70;2200;13.2;79;1
130;4;122.0;80;2451;16.5;74;1
187;8;305.0;140;4215;13.0;76;1
23;4;121.0;113;2234;12.5;70;2
43;8;400.0;170;4746;12.0;71;1
0;8;307.0;130;3504;12.0;70;1
201;6;250.0;110;3645;16.2;76;1
375;4;105.0;74;1980;15.3;82;2
98;6;250.0;100;3278;18.0;73;1
385;4;91.0;67;1995;16.2;82;3
178;4;120.0;88;2957;17.0;75;2
256;6;225.0;100;3430;17.2;78;1
94;8;440.0;215;4735;11.0;73;1
367;4;112.0;88;2605;19.6;82;1
95;8;455.0;225;4951;11.0;73;1
349;4;91.0;68;1985;16.0;81;3
169;6;232.0;100;2914;16.0;75;1
69;8;350.0;160;4456;13.5;72;1
305;4;151.0;90;2670;16.0;79;1
48;6;250.0;88;3139;14.5;71;1
207;4;130.0;102;3150;15.7;76;2
279;4;98.0;68;2135;16.6;78;3
227;6;225.0;100;3630;17.7;77;1
148;4;116.0;75;2246;14.0;74;2
143;4;97.0;78;2300;14.5;74;2
180;4;121.0;115;2671;13.5;75;2
131;4;71.0;65;1836;21.0;74;3
355;4;107.0;75;2210;14.4;81;3
396;4;120.0;79;2625;18.6;82;1
262;8;305.0;145;3425;13.2;78;1
203;4;97.0;71;1825;12.2;76;2
84;4;97.0;88;2100;16.5;72;3
121;8;318.0;150;3399;11.0;73;1
343;4;79.0;58;1755;16.9;81;3
364;8;350.0;105;3725;19.0;81;1
91;8;400.0;150;4464;12.0;73;1
82;4;120.0;97;2506;14.5;72;3
267;4;134.0;95;2560;14.2;78;3
119;4;114.0;91;2582;14.0;73;2
291;8;267.0;125;3605;15.0;79;1
57;4;113.0;95;2278;15.5;72;3
321;4;108.0;75;2265;15.2;80;3
257;6;232.0;90;3210;17.2;78;1
353;4;105.0;74;2190;14.2;81;2
42;8;383.0;180;4955;11.5;71;1
105;8;360.0;170;4654;13.0;73;1
366;6;225.0;85;3465;16.6;81;1
273;4;119.0;97;2405;14.9;78;3
351;4;98.0;65;2045;16.2;81;1
38;8;350.0;165;4209;12.0;71;1
53;4;71.0;65;1773;19.0;71;3
345;4;81.0;60;1760;16.1;81;3
128;6;250.0;100;3336;17.0;74;1
290;8;351.0;142;4054;14.3;79;1
28;8;304.0;193;4732;18.5;70;1
183;4;116.0;81;2220;16.9;76;2
163;6;225.0;95;3785;19.0;75;1
151;4;79.0;67;2000;16.0;74;2
244;4;90.0;48;1985;21.5;78;2
202;6;258.0;95;3193;17.8;76;1
31;4;113.0;95;2228;14.0;71;3
32;4;98.0;?;2046;19.0;71;1
127;6;232.0;100;2901;16.0;74;1
185;4;98.0;79;2255;17.7;76;1
370;4;112.0;85;2575;16.2;82;1
288;8;318.0;135;3830;15.2;79;1
360;6;145.0;76;3160;19.6;81;2
147;4;90.0;75;2108;15.5;74;2
285;8;305.0;130;3840;15.4;79;1
368;4;112.0;88;2640;18.6;82;1
177;4;115.0;95;2694;15.0;75;2
99;6;232.0;100;2945;16.0;73;1
338;4;135.0;84;2490;15.7;81;1
335;4;122.0;88;2500;15.1;80;2
197;4;90.0;70;1937;14.2;76;2
243;3;80.0;110;2720;13.5;77;3
115;8;350.0;145;4082;13.0;73;1
265;8;318.0;140;4080;13.7;78;1
72;8;304.0;150;3892;12.5;72;1
333;6;168.0;132;2910;11.4;80;3
25;8;360.0;215;4615;14.0;70;1
165;8;262.0;110;3221;13.5;75;1
337;4;107.0;72;2290;17.0;80;3
382;4;108.0;70;2245;16.9;82;3
174;6;171.0;97;2984;14.5;75;1
384;4;91.0;67;1965;15.7;82;3
39;8;400.0;175;4464;11.5;71;1
193;6;200.0;81;3012;17.6;76;1
314;4;140.0;88;2870;18.1;80;1
88;8;302.0;137;4042;14.5;73;1
70;8;400.0;190;4422;12.5;72;1
87;8;350.0;145;3988;13.0;73;1
292;8;360.0;150;3940;13.0;79;1
242;4;121.0;110;2600;12.8;77;2
277;6;163.0;133;3410;15.8;78;2
211;6;168.0;120;3820;16.7;76;2
9;8;390.0;190;3850;8.5;70;1
359;4;141.0;80;3230;20.4;81;2
195;4;85.0;52;2035;22.2;76;1
251;8;302.0;139;3570;12.8;78;1
323;4;156.0;105;2800;14.4;80;1
192;6;250.0;105;3353;14.5;76;1
117;4;68.0;49;1867;19.5;73;2
47;6;250.0;100;3282;15.0;71;1
172;4;90.0;71;2223;16.5;75;2
